"Distance [mm]","Mag_E [V_per_meter] - Freq='0.0003GHz' Phase='0deg' rotate='0deg'","Mag_E [V_per_meter] - Freq='0.0003GHz' Phase='0deg' rotate='90deg'","Mag_E [V_per_meter] - Freq='0.0003GHz' Phase='0deg' rotate='180deg'","Mag_E [V_per_meter] - Freq='0.0003GHz' Phase='0deg' rotate='270deg'"
0,2.50669521040876,0.634198408368381,2.30508409886089,2.90923049055235
1,2.20060383558512,0.57318916953762,2.15636732610878,2.75474280193539
2,1.91303238957028,0.524198736948675,2.01255028841772,2.60408309492912
3,1.64851304061962,0.479561847326734,1.87013653441913,2.44069039960219
4,1.39519183477379,0.436026950140484,1.72815241940881,2.27738152411186
5,1.14268579593816,0.39495374932256,1.58590371506907,2.11839324851556
6,0.897954655448447,0.356397738726945,1.45845262570962,1.96440782534143
7,0.66962509964162,0.320430621998689,1.36702266848915,1.81543939245778
8,0.486763337004161,0.287140312573902,1.27522923873166,1.6772339184968
9,0.356002589412952,0.260703332146614,1.19107945672339,1.55214664002915
10,0.346977864461367,0.237992724681747,1.11827645140151,1.45727895290728
11,0.564207153158414,0.217204330378104,1.04901481512475,1.36620019242386
12,0.748509083990861,0.197644827337772,0.973660061341384,1.2788951333517
13,0.869671246499835,0.179345756514254,0.898048542636708,1.19534875603151
14,1.02876244297484,0.162218297632737,0.823123335058034,1.11554624637177
15,1.18645208397598,0.146512076842266,0.748916305884491,1.03990970098925
16,1.32050688873018,0.132432198458643,0.691698887134362,0.965835412894127
17,1.43874236939742,0.120207054733251,0.654358489616141,0.895894051265354
18,1.55373351948438,0.110088325853055,0.616994393894123,0.828743911532006
19,1.66549464874002,0.103488834118149,0.579535307688774,0.774532142222982
20,1.77408641549295,0.0992643719546273,0.545018059209174,0.733115716909977
21,1.89570417141152,0.0961045901293097,0.506782007286846,0.692746594344096
22,2.01448099366688,0.0939787346354624,0.470222532045075,0.653442028721748
23,2.03508595459901,0.0927372072339254,0.435085846959849,0.614318974641291
24,2.04980502897026,0.0925669047454457,0.401398614286691,0.57330731790393
25,2.06119262422419,0.0933089685218378,0.369188323603273,0.529225540365092
26,2.06955999252575,0.0946671858644891,0.338483291809421,0.487159037348516
27,2.07489577520631,0.096349117372345,0.309312663127107,0.458289118540688
28,2.07719037073524,0.0970363843894284,0.281706409100456,0.437586265491429
29,2.07643593471995,0.0988204093232723,0.270404708471733,0.417321815532562
30,2.07262637990584,0.100763642753489,0.259414896795939,0.39535221079106
31,2.06575737617638,0.102866426807909,0.248687566832351,0.373562843732796
32,2.05582635055301,0.105100578314185,0.237648816665738,0.352643586395531
33,2.04283248719522,0.106677210817025,0.226612757001147,0.333449883204701
34,2.02677672740052,0.10768042725315,0.215146703532438,0.315106095804742
35,2.00766176960442,0.108664562629263,0.203910302153617,0.297626150095284
36,1.98549206938048,0.109601023867882,0.193377940780776,0.281024720561401
37,1.96024088373994,0.110747116832721,0.183617524273541,0.265317230273603
38,1.93347704499256,0.111954913530711,0.174705679943392,0.250519850887842
39,1.90527063074514,0.113210328993867,0.166727757553661,0.23664950264551
40,1.87561840978295,0.114550799653926,0.160385735263391,0.223723854373441
41,1.84106592722203,0.115696924808865,0.154684216631797,0.211761323483908
42,1.79098549915787,0.116610640371232,0.149520564844738,0.201892368086272
43,1.74298173881503,0.117330647192789,0.14489546150604,0.195542215512102
44,1.69462469709545,0.118027683038137,0.14080865681714,0.189627494060194
45,1.64660023162866,0.118668425093782,0.137056829648423,0.184150065923069
46,1.60158120763743,0.118998184415953,0.133499687849375,0.179109196837416
47,1.55691869118622,0.119301771424722,0.130293888126461,0.174501556084096
48,1.51261108324152,0.11957861610828,0.127823928356963,0.170321216488135
49,1.46865704950914,0.119848212646606,0.125852894874019,0.16655965441873
50,1.42505552043419,0.120061527597408,0.123972321683861,0.163037504558975
51,1.38180569120112,0.120217837880429,0.122304718796335,0.159550829802742
52,1.33890702173369,0.120316474810245,0.120765610099061,0.156281804258073
53,1.29635923669497,0.120346814043177,0.119342937088931,0.153202256989094
54,1.25416232548736,0.120226941351574,0.118039273953162,0.15023952493428
55,1.21231654225256,0.119908668206355,0.116856929593239,0.147400420458435
56,1.1740929598246,0.119577520616789,0.115797947624914,0.14469240630906
57,1.14006754231755,0.119233463495559,0.114864106378207,0.142123595616361
58,1.10666831793299,0.118876463204219,0.114056918897406,0.139702751893239
59,1.0738235908793,0.118506487553202,0.113377632941067,0.1374392890353
60,1.0415334702736,0.118123505801812,0.112888234013796,0.136190639658306
61,1.00979804978859,0.117727488658228,0.113414885198957,0.13499554658202
62,0.978617407652563,0.117349643541251,0.114070438775867,0.133833464804697
63,0.947991606649406,0.117006462445383,0.114574600266447,0.132700224102714
64,0.917035706021824,0.116647486705756,0.114388807217119,0.131393413894285
65,0.88571910839995,0.116272716752007,0.114222404119764,0.129950467185853
66,0.854806308704839,0.115882153115406,0.113860452025657,0.128605744398699
67,0.824296691221694,0.115475796428845,0.113444086040912,0.127357223520018
68,0.79418988518513,0.11507840891197,0.113051784944821,0.126357187177607
69,0.764485764779174,0.114685595477282,0.112677963044552,0.125611390487156
70,0.73518444913726,0.114285107184419,0.112317287300912,0.124878082901865
71,0.706286302342239,0.113701290225774,0.111832070075448,0.124156736712577
72,0.678156969924048,0.113111007711613,0.111158619590345,0.123446827930321
73,0.650794988229384,0.112517163276274,0.110498154682923,0.122747836286317
74,0.623622898055398,0.111923537256255,0.109850312529186,0.12205924523197
75,0.596640136146879,0.111330129993858,0.109214730249779,0.121380541938877
76,0.569847456396886,0.110736941914418,0.108591044909988,0.120711217298821
77,0.543246929846746,0.110143973526306,0.107978893519739,0.119982827800332
78,0.528010744943156,0.109551225420923,0.107377913033603,0.11917661942961
79,0.513495407117638,0.108958698272705,0.10683923301622,0.118407637642417
80,0.499204230465689,0.108367359937761,0.106590357928281,0.117673639993237
81,0.485137324377129,0.107805067542539,0.106335391937847,0.116972437919648
82,0.471294785023478,0.107249166354331,0.106074063634552,0.116301896742331
83,0.457676695357959,0.106699018711966,0.105806109534565,0.115659935665064
84,0.4442831251155,0.106150469077876,0.105531274080584,0.115044527774722
85,0.431114130812733,0.105604668518836,0.105249309641841,0.114375680101757
86,0.418169755747991,0.105061617380757,0.104959976514097,0.113593875736211
87,0.405450030001315,0.104521316016409,0.104744445340993,0.112819380714043
88,0.392954970434445,0.103983764785424,0.104613586609602,0.112051878352426
89,0.380684580690827,0.103454875297701,0.104480057639592,0.111291051581908
90,0.368638851195609,0.10296131219944,0.10434382033094,0.110536582946425
91,0.356817759155644,0.102467955763844,0.104204841956704,0.109788154603288
92,0.345221268559488,0.101974804292627,0.104063095163029,0.109045448323192
93,0.333849330177399,0.101481856651111,0.10391855796914,0.108308145490212
94,0.322701881561342,0.100989112268229,0.103612152292657,0.10778438158603
95,0.311778847044982,0.100496571136522,0.103179983128919,0.10748274374152
96,0.301080137743689,0.100004233812139,0.102751836586839,0.10718180704554
97,0.290605651554537,0.0995121014148397,0.102327686773185,0.106902208428098
98,0.280060478499221,0.0990201756279931,0.101907507650346,0.106610790748406
99,0.269260739472872,0.0985284586985758,0.101491273036333,0.106306777694211
